left_superior_temporal_gyrus_anterior,left_middle_temporal_gyrus_temorooccipital,left_temporal_pole,left_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_anterior,right_middle_temporal_gyrus_temporooccipital,right_superior_temporal_gyrus_temporal_pole,right_temporal_pole,left_precentral_gyrus,left_inferior_frontal_gyrus_pars_opercularis
-44.05527069,-22.74811447,-15.80236095,-60.67278396,-40.03172022,-42.74407999,-16.0105835,-19.27669629,-2.473395541,-24.42362014,-30.21069659
2.687025515,-12.1726877,34.79898258,-21.13391562,-61.98196939,-51.96879707,-81.47095623,-34.95162646,-8.111343008,0.606713135,24.39855463
-10.4792823,-21.809343,-7.570639551,-22.55083282,-41.54452549,-17.99066161,-75.99310166,-22.36674015,-16.18579001,-15.95551246,-0.466195896
-15.75736565,-17.03326231,-7.768182324,-30.53376292,-40.61023897,-35.45459787,-30.92122916,-25.77737183,-13.3544015,-21.96093119,-31.1197587
-2.016997381,-10.49379711,1.195364641,-19.53064955,-26.75699526,0.587543976,-14.35890483,1.490058707,-3.213216136,13.19542416,10.07159996
-30.80225004,-28.41285925,-28.79464864,-30.70369346,-52.55583424,-58.01336065,-35.82044368,-23.8166624,-23.22711828,0.735559968,-31.94632458
-30.8642148,-32.45477013,-25.68726276,-79.65962623,-51.37033268,-39.56430057,-50.86243537,-60.73943434,-20.71198122,-56.24480143,-28.55218285
-44.05527069,-22.74811447,-15.80236095,-60.67278396,-40.03172022,-42.74407999,-16.0105835,-19.27669629,-2.473395541,-24.42362014,-30.21069659
-33.70648949,-10.28978161,-8.624920625,-45.73444815,-33.00019348,-35.64736944,-1.846330432,-16.6182908,-7.677209703,0.319699856,-2.76066056
-89.38831249,-98.7625598,-50.32100531,-113.8462303,-105.8485293,-146.925628,-143.3797345,-130.3747574,-80.50934187,-46.263091,-73.85890701
-29.56144346,0.912449679,-10.23295479,-14.72848914,-28.82803048,-26.21705881,-20.62966281,-13.6316528,-10.39160538,55.52373788,19.67288666
-41.49980882,-28.74598922,-13.78110313,-52.08910845,-37.84670866,-36.24237182,-32.32072065,-27.39845238,-24.8135872,-12.90975412,-43.4307974
-24.85208846,-16.98382543,-5.007531647,-22.41731864,-45.69336501,-31.2192954,-30.61222432,-26.18196848,-11.28726337,-10.12705742,-7.391978543
-7.06123319,-2.080090309,-0.749458056,-32.1508553,-15.93085653,-4.510425743,6.868739958,-0.757832728,-1.587865227,19.46637874,12.79446577
-9.632003187,-15.57008378,-2.093797316,-10.88526094,-6.394564161,-25.29727895,-41.01496029,-16.34871925,-4.879187695,-0.622400126,-20.99983573
