left_superior_temporal_gyrus_anterior,left_middle_temporal_gyrus_temorooccipital,left_temporal_pole,left_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_anterior,right_middle_temporal_gyrus_temporooccipital,right_superior_temporal_gyrus_temporal_pole,right_temporal_pole,left_precentral_gyrus,left_inferior_frontal_gyrus_pars_opercularis
8.286381697,-31.73374024,-27.96367655,40.62378958,52.15558462,11.48821886,29.70507972,-13.9720583,-7.273922788,-34.22474548,-34.10264609
0.213509046,0.160597772,0.079080209,0.378100933,0.157569011,0.180238414,0.035041035,0.121545379,0.025650426,0.048400479,0.095307863
15.51887629,-5.004771682,-1.629734616,44.14745895,31.89082093,13.501517,-4.110915294,-10.01326972,-4.760196442,4.254515247,-18.82785788
0.645718098,0.277002873,0.338855752,0.783990024,0.859649188,0.736606579,0.430296497,0.421849636,0.274494259,0.504314435,0.3953337
0.233954498,0.046085463,-0.029323414,0.399368537,-0.070770155,0.141585347,-0.154215711,-0.090130057,-0.145467332,0.308726547,0.07673073
0.255993534,-0.190748421,0.038704102,0.322288339,0.391277219,0.224227067,-0.025535847,0.078310852,-0.061135154,0.015883049,-0.263397797
0.328533638,0.104545133,0.056212872,0.641385095,0.468630619,0.356491525,0.405660896,-0.12783779,0.062322381,0.192769641,0.265907862
35.00888771,10.4630849,10.61818036,43.19826697,52.10863066,23.40585744,19.11864761,8.286727692,4.192880136,26.71877738,4.591878919
28.61921634,1.617953603,1.116198352,52.90134202,41.57731931,48.04738028,30.12948824,12.49595325,-3.950195434,8.953142035,-14.11572535
26.46843289,-28.15372068,-12.21698496,2.617259648,-3.689981573,23.455065,-52.50706834,-16.98865417,-12.50360028,15.04144074,-13.54691554
37.4309832,-20.48367423,-0.205352652,43.54520354,39.13131441,56.19150286,-20.46979703,-10.18262243,-4.919160913,23.39269971,19.98988636
26.84045151,-7.155967243,3.637332577,37.24799166,45.31279571,69.35149114,1.114659588,25.70766037,23.6320929,4.069063548,-22.26283694
29.50670027,-1.513265912,-6.760009438,66.04944662,57.68503353,17.93770824,51.73163321,3.695066352,2.072195647,2.405923468,-2.872542546
19.41484937,-20.73386039,-15.56238107,32.94078488,15.30691756,11.94226376,-26.40215675,-4.376083546,-14.91886969,-26.74654821,-11.9678821
21.9243335,-34.01546006,-7.165427909,20.42308425,8.872761141,11.20930444,-64.63956992,-7.218013254,-16.35356442,13.26808754,-24.10733784
21.52340111,6.750922617,-0.134311952,82.8959409,24.57389562,41.10703012,-10.78621487,4.318775996,-7.455494419,17.48473992,-4.834988157
20.75178494,-11.68829376,-10.01706803,11.97477482,24.63889767,26.23397327,-37.08463425,-10.25548529,-6.831503877,-12.52548539,-8.063261527
27.28634276,-0.653767762,2.06239403,22.1466488,22.81354218,38.75958388,-8.785515002,22.73751791,-1.71850972,-12.02405012,-12.29442769
2.321775929,-10.57968186,-5.330370731,43.47031351,13.45812238,-0.447132684,-4.162378367,-8.03004632,-18.21754473,19.66347308,17.35978417
23.62463275,6.072781147,9.741021423,15.55889921,24.47469159,36.7195504,-14.01886541,-3.069937894,-9.243363622,32.13609383,2.185690065
0.248509257,0.466089664,0.057255262,0.814573888,0.755349598,0.473981324,0.865306621,0.310397279,-0.012440301,0.630136624,0.328145399
-0.052828056,-29.55443643,-32.15238484,6.409820704,12.0006083,3.198942416,-33.88970677,-53.54553409,-29.86892985,29.40196897,-44.13995115
22.11498344,9.907570275,0.875255359,46.55699634,38.90441108,22.22196429,-7.783095408,16.63547891,6.69001831,48.571624,20.99018967
