left_superior_temporal_gyrus_anterior,left_middle_temporal_gyrus_temorooccipital,left_temporal_pole,left_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_anterior,right_middle_temporal_gyrus_temporooccipital,right_superior_temporal_gyrus_temporal_pole,right_temporal_pole,left_precentral_gyrus,left_inferior_frontal_gyrus_pars_opercularis
-21.8337851,-11.34678107,-7.426883314,-32.42293186,-61.89030776,-58.8975409,-62.5116989,-44.05115499,-16.62686205,1.420551053,7.42969623
-13.83970607,2.430155107,-5.228206178,-33.01303402,-19.58234982,-20.43288952,-28.70052211,-13.17992493,-7.977166395,-0.878843582,5.756872951
-26.86564036,-14.15438466,-3.289744563,-36.52956479,-41.14102761,-37.1599321,-35.84509133,-26.33434801,-7.257574982,-17.64492266,-12.7054765
-2.637445623,2.85709823,12.30707047,-2.199379949,-15.37616817,-18.19419567,-2.731756353,-4.912910406,5.34243771,2.007871198,3.03419453
-17.51755881,-20.98680422,-6.25349634,-44.07768797,-31.55587371,-22.05748229,-21.45620713,-12.25261799,-3.90882649,-10.87834754,-30.3551862
-11.98172681,-13.18653803,7.430299522,21.02619397,-14.142769,-32.56210934,11.96933636,-3.962879648,-1.416724452,36.62777736,18.64959717
-28.50971866,-14.24219251,-11.07980739,-41.31817499,-27.00563292,-37.64824173,-21.42761592,-21.71177255,-9.281360603,-9.396778194,-26.95930846
-45.74243732,-31.30894363,-23.09373209,-46.81186955,-45.84046202,-88.36478616,-57.63236118,-69.41164657,-29.40519396,-16.436034,-26.97034657
18.09997685,34.86714453,15.91339103,25.8033463,16.3940536,17.7779339,25.06258606,23.71882302,9.206432907,109.6665546,65.65227052
-40.65530201,-41.10862798,-17.36575114,-51.45506379,-46.64559874,-48.47982213,-42.50619181,-37.59548686,-25.51670375,-26.59265513,-38.50742784
-22.81980001,-19.47442776,-1.752320331,-20.32565081,-53.5301312,-39.60301909,-42.00918952,-26.2584903,-13.09350358,-21.44825767,-17.21174619
-73.23186586,-16.14916865,-26.41260613,-63.41932793,-26.84560827,-49.52838326,19.13280954,-31.50456476,14.79256366,-50.13524524,-46.23304605
-3.866622748,-15.87084797,4.147645621,-6.003356197,-12.86636262,-14.44771117,-27.28195117,-8.820866437,7.621262378,9.434312231,-22.81649378
6.97888665,-2.498090222,11.47437754,-16.5304234,-14.73825163,-0.670402293,-10.48849503,-1.182410579,-1.090177825,19.73534973,-10.14228624
-31.43093586,-17.9070402,-13.58343655,-63.85154851,-58.46146229,-39.3212677,-40.92555146,-39.98824317,-17.43625559,-28.73469556,-14.92231227
