left_superior_temporal_gyrus_anterior,left_middle_temporal_gyrus_temorooccipital,left_temporal_pole,left_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_posterior,right_superior_temporal_gyrus_anterior,right_middle_temporal_gyrus_temporooccipital,right_superior_temporal_gyrus_temporal_pole,right_temporal_pole,left_precentral_gyrus,left_inferior_frontal_gyrus_pars_opercularis
34.59565787,-22.53906681,-17.37659209,93.06624431,73.66942084,27.75756699,46.15631447,4.105553172,-20.91751699,-31.99034195,-30.96599126
34.35695684,1.212192615,12.30741814,81.2633895,11.24899424,-8.257248036,-36.15755859,-18.66140598,-21.95153218,-17.41890029,-6.052433498
15.50088763,-15.11208773,1.320472548,50.37744647,39.1899177,20.93388113,-13.19538943,13.64898518,-2.893476936,9.269344515,-14.90534739
47.66586977,13.06380099,16.31341986,82.90024444,86.99082406,54.21455601,28.76490224,16.35150888,19.34436533,35.69463256,10.56104705
35.06609442,10.0813893,-1.08735477,69.79543443,25.18698214,39.0843236,1.326624848,-3.873851095,-6.957359777,57.06604031,10.90337798
73.5535107,-8.373414672,26.74943044,77.74800358,57.11571283,55.65603405,-1.873285877,32.07911486,-3.969072424,25.90228599,-2.228467251
13.38482611,-16.10432432,-13.82096839,61.88002703,45.11318878,11.35280601,13.17511511,-38.96459466,-25.29120347,37.88540387,23.72903434
0.166006725,-0.124018804,-0.085584039,0.253289745,0.391195624,0.079222939,0.066058479,0.018754606,-0.00339209,0.003247914,-0.049821111
24.72124506,-8.240494594,-4.323220506,66.25402352,37.78636813,40.93309437,50.18178124,21.0635923,-10.09270162,-1.685746527,-17.04175643
59.86620268,-5.540336685,14.79407991,55.25645749,42.23088447,65.37395552,-4.629842008,-2.040087993,-2.952193109,48.46706917,29.08189777
59.3356838,4.325916628,-1.013433018,64.83022508,50.74492989,75.10943401,-25.31006872,-2.83089592,-17.0858573,64.30587675,47.77383622
29.53095139,-4.70016286,3.800171557,50.07339522,48.16545918,65.27525721,-2.786282169,23.05089582,22.99250044,-2.923221909,-20.20998432
22.83791131,4.685121532,0.121268591,48.36538192,40.54032771,14.55777847,40.60120459,8.525375456,3.149728565,17.92117862,12.34795277
10.89694901,-40.02859821,-25.46251318,20.78428155,18.88043541,25.63767897,-35.21662123,3.385729911,-19.76383618,-42.87129678,-11.1925534
37.67811078,-10.92458689,5.207986725,44.66474117,26.82522449,23.6667955,-51.27719503,2.145377155,-6.229489343,15.34550482,-6.392773457
19.43358282,-2.216504849,-0.735633085,82.51827568,24.16198805,36.74855368,-28.22007643,-3.011325836,-6.52099943,14.16419513,-12.92816613
69.84093401,38.05013901,27.32154813,108.8438625,79.01849227,85.14561344,45.34592644,75.16523353,16.37072727,64.19629192,31.51429263
47.63156961,18.23459969,10.43803311,58.96939469,52.13813967,64.18533787,-6.528258947,46.3009652,0.144908959,15.65939161,17.74190576
7.20359617,-23.53697872,-8.169368231,31.73822717,21.27661481,22.98641596,-15.36562347,-6.056890204,-4.107577868,-16.595701,-19.52951922
28.81766429,14.60778395,16.37109561,22.10077927,31.49117081,41.28934957,3.884599828,15.00176629,-3.921344887,35.59385563,22.6375067
15.4180224,25.8425347,1.880269511,79.0153037,40.48826785,35.79395171,50.9842274,19.33188847,2.618560694,46.57356357,23.37004013
16.99221011,-0.289556878,0.158623392,66.19039465,16.20314796,3.119532034,-53.39149989,-55.89341505,-43.50976023,109.9318087,13.09378789
33.37645921,0.107640687,-12.99632908,52.23300611,67.31033636,37.84038519,10.8909811,19.18875049,-2.104712351,75.20270263,12.72594019
