left_superior_temporal_gyrus_posterior_anterior_heschls_gyrus_,right_superior_temporal_gyrus_anterior_posterior_heschls gyrus,left_precentral_postcentral_gyrus,left_parietal_operculum_plan_temporale,right_lingual_gyrus_temporal_occipiral_fusiform
-54.04312546,-42.44486253,-39.45817984,-38.36422299,-0.840796636
-2.185561727,-63.3803068,8.795117901,2.945878418,-24.57609544
-19.53552153,-27.00502826,-12.93174663,-13.63699861,-7.286804775
-22.61074871,-37.56663266,-18.29517543,-25.94631169,0.280508951
-11.07522616,-7.715122202,11.25458386,-28.39883118,6.967448226
-43.08725118,-48.54617053,7.039876882,0.182248357,-4.007676784
-49.09935971,-51.49997304,-50.59868147,-40.026686,-20.46943502
-54.04312546,-42.44486253,-39.45817984,-38.36422299,-0.840796636
-42.60965446,-36.95902653,-5.059194389,-13.36637022,-14.33526212
-97.84037332,-135.6945224,-46.91356215,-87.59327044,-21.11087593
-32.72017892,-28.26039924,11.87914753,-8.125123196,3.373852519
-45.62228033,-39.23940827,-16.40988634,-40.67521777,-2.546971762
-27.16001809,-38.92773333,-5.653751773,-14.74274647,-1.437856408
-17.05724124,-6.572802806,20.12273903,-15.9137407,5.596164844
-11.08672757,-18.50506019,-5.151958083,-2.696416007,-0.547805327
