left_superior_temporal_gyrus_posterior_anterior_heschls_gyrus_,right_superior_temporal_gyrus_anterior_posterior_heschls gyrus,left_precentral_postcentral_gyrus,left_parietal_operculum_plan_temporale,right_lingual_gyrus_temporal_occipiral_fusiform
-31.10298399,-63.28007285,-0.315392563,-17.63612898,-8.566122151
-21.38768831,-23.07655662,6.117357957,-17.55918083,-1.745906947
-33.2774719,-42.40771664,-23.08286232,-15.02235214,-11.82140945
-3.878178343,-17.84761801,-0.622802043,-21.08762577,-1.753927033
-29.89564442,-25.06601163,-4.653185477,-32.32573166,-3.034479609
-9.230967797,-20.36635879,41.42546115,-11.34949949,-9.4853195
-41.80350731,-36.46923089,-15.30858194,-23.33332463,-17.17544282
-54.05676695,-76.62005201,-25.65362551,-41.53928266,-9.481411598
20.60967814,15.78678198,49.26587538,29.02386285,23.06170736
-47.17051362,-50.64633953,-26.13953522,-54.26670815,-10.65559776
-24.96331148,-46.71372357,-1.191579671,-19.64338003,-0.683640352
-83.3993826,-46.51990226,-71.88528999,-50.4357468,-11.66283663
-4.182623271,-8.485757754,18.1049253,3.248541833,-0.678516829
-7.107330575,-5.464961224,15.24207659,-6.932149845,0.350946937
-46.15265926,-51.49641853,-35.19048032,-33.91970364,-4.549710199
