left_superior_temporal_gyrus_posterior_anterior_heschls_gyrus_,right_superior_temporal_gyrus_anterior_posterior_heschls gyrus,left_precentral_postcentral_gyrus,left_parietal_operculum_plan_temporale,right_lingual_gyrus_temporal_occipiral_fusiform
52.50914677,50.00238414,-36.0427205,9.449690207,-3.529185877
46.22404427,4.901856157,-8.134155353,-40.70273851,3.445682303
34.85055324,41.5614129,2.583890828,21.72200292,0.324865494
55.97077834,69.72577508,15.84301459,41.22416748,-0.689573554
48.47493376,32.39342533,40.01613291,71.49221357,19.1114225
92.44115239,69.74338167,57.19239753,51.41996792,4.284273948
26.6993782,27.74367229,19.66925722,36.1905226,-3.764465835
0.207754202,0.243743822,-0.25901874,0.359225323,-0.384273554
38.97808322,50.31220528,16.8222293,7.26930166,0.674478304
65.83935878,57.67748576,40.94293658,21.99187242,8.057763003
68.42777725,64.98664315,7.386390068,66.76064752,-0.404803628
37.9261222,66.77217078,8.926621417,29.7002228,3.84032566
29.5816681,31.87408135,15.16401625,22.96300631,3.918487839
21.23244941,28.23278169,-18.82482181,5.80286658,12.27358376
38.90584105,25.68494786,11.15136016,25.00103429,3.21414739
40.42666095,36.17196792,20.15931228,10.22366348,16.6121138
86.93185354,101.0281887,60.0476995,92.22270563,22.04396325
59.0594425,74.8116168,11.41545437,51.40151064,-0.605568295
16.77678587,31.53976867,-23.23108031,23.63102058,-2.193436101
42.30290028,40.95584833,55.71999974,44.08789988,28.03407409
29.58699704,45.21170184,45.99448264,52.77297298,-0.380682381
46.66506283,7.466286855,93.54211894,43.6143324,11.76521755
54.74804386,59.97124676,57.58394426,35.4861066,16.06046319
